,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
45,2020-03-07,2.3242576045903394,-1352.9304311834767,1522.6320867396453,2.3242576045903394,2.3242576045903394,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,77.87784039320647
46,2020-03-08,3.6038474151341306,-1371.9742683665027,1426.2030396028765,3.6038474151341306,3.6038474151341306,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,120.75247306623444
47,2020-03-09,4.883437225677937,-1142.2133597442214,1647.9695882526805,4.883437225677937,4.883437225677937,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,163.6271057392629
48,2020-03-10,6.163027036221743,-1073.0568398750238,1678.480538688972,6.163027036221743,6.163027036221743,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,206.5017384122914
49,2020-03-11,9.019331713346595,-1084.6622943682664,1692.9715328035538,9.019331713346595,9.019331713346595,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,302.20663761114974
50,2020-03-12,11.875636390471508,-997.6192392626988,1879.6832706543487,11.875636390471508,11.875636390471508,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,397.9115368100101
51,2020-03-13,14.73194106759636,-935.3965074400501,1946.7387807615276,14.73194106759636,14.73194106759636,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,493.61643600886845
52,2020-03-14,18.393305155858375,-803.2269312709609,1984.069608472548,18.393305155858375,18.393305155858375,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,616.2960940312605
53,2020-03-15,22.054669244120333,-506.322604241667,2158.8333367264286,22.054669244120333,22.054669244120333,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,738.9757520536508
54,2020-03-16,25.71603333238232,-609.0034876055565,2286.5851372187244,25.71603333238232,25.71603333238232,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,861.655410076042
55,2020-03-17,59.9201494824145,553.0985488477893,3481.4136479502213,59.9201494824145,59.9201494824145,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,2007.7171431051563
56,2020-03-18,94.12426563244644,1781.8377531694307,4523.743856955374,94.12426563244644,94.12426563244644,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,3153.778876134262
57,2020-03-19,128.32838178247837,2837.906398061965,5703.682148360802,128.32838178247837,128.32838178247837,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,4299.840609163368
58,2020-03-20,162.5324979325108,3964.1261647347974,6782.159115075781,162.5324979325108,162.5324979325108,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,5445.902342192491
59,2020-03-21,196.73661250229995,5002.417716284006,7941.405205350647,196.73661250229995,196.73661250229995,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,6591.964022273121
60,2020-03-22,230.94072707208932,6419.059455345113,9228.292305080871,230.94072707208932,230.94072707208932,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,7738.025702353761
61,2020-03-23,265.1448416418782,7475.7216104955505,10354.64393360116,265.1448416418782,265.1448416418782,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,8884.087382434382
62,2020-03-24,340.01503900769353,9983.741962828579,12793.775035938965,340.01503900769353,340.01503900769353,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,11392.728967234329
63,2020-03-25,414.88523637350977,12402.693494635074,15306.796078608892,414.88523637350977,414.88523637350977,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,13901.370552034305
64,2020-03-26,489.75543373932504,14921.620025721728,17858.94246929906,489.75543373932504,489.75543373932504,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,16410.012136834248
65,2020-03-27,524.0851896475237,16160.78429677083,18981.855084529845,524.0851896475237,524.0851896475237,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,17560.28362398623
66,2020-03-28,558.4149455557229,17309.91159985658,20071.8037062325,558.4149455557229,558.4149455557229,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,18710.555111138226
67,2020-03-29,592.7447014639225,18472.2544651521,21321.542383404656,592.7447014639225,592.7447014639225,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,19860.82659829024
68,2020-03-30,675.4078540977981,21168.483398458724,24069.432305719987,675.4078540977981,675.4078540977981,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,22630.58318400867
69,2020-03-31,758.0710067316728,23986.655312677023,26720.83723463151,758.0710067316728,758.0710067316728,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,25400.339769727067
70,2020-04-01,840.7341593655473,26770.317953447593,29548.436668879,840.7341593655473,840.7341593655473,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,32.5065443001671,0.0,0.0,0.0,28170.096355445457
